a_cluster_id,a_cluster_name,a_top_traits,a_top_places,match_rank,b_cluster_id,b_sample_count,b_top_traits,b_summary,similarity_score
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,1,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8629
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,2,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8578
cluster_0,悠然滞在型家族層,relaxation | efficiency_touring | food_value,越前そばの里 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,3,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.8578
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,1,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.9395
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,2,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8026
cluster_1,自然感受型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | かつやま恐竜の森 エリア | 越前大野城・城下町 エリア,3,teacher_auto_cluster_9,850,planning | exploration_experience | food_value,清潔な街並みや景色を愛で、博物館や駅前での買い物を家族や団体で気軽に楽しむ、利便性と快適さを重視した観光スタイル。（58文字）,0.7066
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,1,teacher_auto_cluster_11,681,exploration_experience | planning | food_value,子連れ家族やリピーターが、名所や美食を楽しみ、施設の清潔さや接客の質を重視して快適に福井を満喫する、体験・交流型の旅行。,0.8835
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,2,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.816
cluster_2,文化探究型家族層,exploration_experience | food_value | relaxation,かつやま恐竜の森 エリア | 大本山 永平寺 エリア | あわら湯のまち エリア,3,teacher_auto_cluster_0,802,exploration_experience | food_value | efficiency_touring,恐竜や歴史、体験を目的とした家族連れやリピーター。新施設や道の駅を巡り、地元の食や人との交流を楽しむアクティブな旅。（59文字）,0.7846
cluster_3,温泉癒し型家族層,relaxation | food_value | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8704
cluster_3,温泉癒し型家族層,relaxation | food_value | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,2,teacher_auto_cluster_10,280,relaxation | food_value | planning,施設の清潔感や展示の質を重視し、家族や個人で地元の食や温泉を楽しみながら、静かな環境で快適に過ごす堅実な旅行スタイル。（59文字）,0.8412
cluster_3,温泉癒し型家族層,relaxation | food_value | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,3,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.836
cluster_4,郷土美食探索型家族層,food_value | exploration_experience | relaxation,越前そばの里 エリア | かつやま恐竜の森 エリア | あわら湯のまち エリア,1,teacher_auto_cluster_8,276,food_value | planning | relaxation,地元の人の温かなもてなしと安くて美味しい食事に満足し、素朴な環境で楽しさを満喫する、コスパ重視のカジュアルな旅行スタイル。,0.8697
cluster_4,郷土美食探索型家族層,food_value | exploration_experience | relaxation,越前そばの里 エリア | かつやま恐竜の森 エリア | あわら湯のまち エリア,2,teacher_auto_cluster_1,432,food_value | planning | nature,越前そばや海鮮等の地元グルメを堪能し、新しく綺麗な施設や駅を巡りながら、快適に観光や学びを楽しむ旅行スタイル。,0.8652
cluster_4,郷土美食探索型家族層,food_value | exploration_experience | relaxation,越前そばの里 エリア | かつやま恐竜の森 エリア | あわら湯のまち エリア,3,teacher_auto_cluster_4,593,food_value | planning | relaxation,混雑を避け、歴史や自然をのんびり堪能。便利な設備や親切な接客を重視し、地元の食や買い物を効率よく楽しむ快適な個人旅行。,0.8542
cluster_5,文化滞在型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | かつやま恐竜の森 エリア | 越前そばの里 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.9492
cluster_5,文化滞在型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | かつやま恐竜の森 エリア | 越前そばの里 エリア,2,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.9193
cluster_5,文化滞在型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | かつやま恐竜の森 エリア | 越前そばの里 エリア,3,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8764
cluster_6,リラックス重視型家族層,relaxation | efficiency_touring | nature,かつやま恐竜の森 エリア | 道の駅「恐竜渓谷かつやま」 エリア | あわら湯のまち エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8539
cluster_6,リラックス重視型家族層,relaxation | efficiency_touring | nature,かつやま恐竜の森 エリア | 道の駅「恐竜渓谷かつやま」 エリア | あわら湯のまち エリア,2,teacher_auto_cluster_18,370,relaxation | exploration_experience | nature,混雑を避け、歴史や自然、児童施設を家族で満喫。期待以上の静けさや宿の質に満足し、ゆったりリラックスして過ごす穴場志向の旅。,0.8398
cluster_6,リラックス重視型家族層,relaxation | efficiency_touring | nature,かつやま恐竜の森 エリア | 道の駅「恐竜渓谷かつやま」 エリア | あわら湯のまち エリア,3,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.7946
cluster_7,安定滞在型家族層,efficiency_touring | relaxation | exploration_experience,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「恐竜渓谷かつやま」 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.7533
cluster_7,安定滞在型家族層,efficiency_touring | relaxation | exploration_experience,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「恐竜渓谷かつやま」 エリア,2,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.7245
cluster_7,安定滞在型家族層,efficiency_touring | relaxation | exploration_experience,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「恐竜渓谷かつやま」 エリア,3,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.7245
cluster_8,穏やか体験型家族層,relaxation | exploration_experience | efficiency_touring,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「南えちぜん山海里」 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.8883
cluster_8,穏やか体験型家族層,relaxation | exploration_experience | efficiency_touring,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「南えちぜん山海里」 エリア,2,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8695
cluster_8,穏やか体験型家族層,relaxation | exploration_experience | efficiency_touring,越前そばの里 エリア | 越前大野城・城下町 エリア | 道の駅「南えちぜん山海里」 エリア,3,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8403
cluster_9,自然優先型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,1,teacher_auto_cluster_13,439,exploration_experience | nature | relaxation,絶品グルメと美しい景色を楽しみ、歴史や文化に触れながら、清潔な施設でゆったりと羽を伸ばす、心身ともに満たされるリラックス旅（60文字）,0.9178
cluster_9,自然優先型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,2,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.704
cluster_9,自然優先型家族層,nature | exploration_experience | food_value,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,3,teacher_auto_cluster_7,791,relaxation | nature | planning,清潔な施設や混雑の少なさを重視し、博物館や温泉、自然の景色を楽しみながら、のどかな雰囲気の中でゆったりと過ごす快適な旅。,0.6907
cluster_10,穏やか美食型家族層,food_value | relaxation | exploration_experience,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,1,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.9611
cluster_10,穏やか美食型家族層,food_value | relaxation | exploration_experience,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,2,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.9611
cluster_10,穏やか美食型家族層,food_value | relaxation | exploration_experience,大本山 永平寺 エリア | 越前大野城・城下町 エリア | かつやま恐竜の森 エリア,3,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.9388
cluster_11,一人静養型中年層,relaxation | food_value | exploration_experience,福井駅前 エリア | かつやま恐竜の森 エリア | JR敦賀駅前 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.9334
cluster_11,一人静養型中年層,relaxation | food_value | exploration_experience,福井駅前 エリア | かつやま恐竜の森 エリア | JR敦賀駅前 エリア,2,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.9283
cluster_11,一人静養型中年層,relaxation | food_value | exploration_experience,福井駅前 エリア | かつやま恐竜の森 エリア | JR敦賀駅前 エリア,3,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.9283
cluster_12,安心滞在型家族層,relaxation | efficiency_touring | food_value,かつやま恐竜の森 エリア | 越前そばの里 エリア | 越前大野城・城下町 エリア,1,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8493
cluster_12,安心滞在型家族層,relaxation | efficiency_touring | food_value,かつやま恐竜の森 エリア | 越前そばの里 エリア | 越前大野城・城下町 エリア,2,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.8493
cluster_12,安心滞在型家族層,relaxation | efficiency_touring | food_value,かつやま恐竜の森 エリア | 越前そばの里 エリア | 越前大野城・城下町 エリア,3,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.8205
cluster_13,静養重視型中年層,relaxation | food_value | exploration_experience,福井駅前 エリア | かつやま恐竜の森 エリア | JR敦賀駅前 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.9264
cluster_13,静養重視型中年層,relaxation | food_value | exploration_experience,福井駅前 エリア | かつやま恐竜の森 エリア | JR敦賀駅前 エリア,2,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.9213
cluster_13,静養重視型中年層,relaxation | food_value | exploration_experience,福井駅前 エリア | かつやま恐竜の森 エリア | JR敦賀駅前 エリア,3,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.9213
cluster_14,リラックス美食型家族層,food_value | relaxation | efficiency_touring,越前そばの里 エリア | 道の駅「恐竜渓谷かつやま」 エリア | かずら橋 エリア,1,teacher_auto_cluster_1,432,food_value | planning | nature,越前そばや海鮮等の地元グルメを堪能し、新しく綺麗な施設や駅を巡りながら、快適に観光や学びを楽しむ旅行スタイル。,0.8958
cluster_14,リラックス美食型家族層,food_value | relaxation | efficiency_touring,越前そばの里 エリア | 道の駅「恐竜渓谷かつやま」 エリア | かずら橋 エリア,2,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8502
cluster_14,リラックス美食型家族層,food_value | relaxation | efficiency_touring,越前そばの里 エリア | 道の駅「恐竜渓谷かつやま」 エリア | かずら橋 エリア,3,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.8502
cluster_15,落ち着き滞在型家族層,relaxation | exploration_experience | food_value,福井駅前 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,1,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.961
cluster_15,落ち着き滞在型家族層,relaxation | exploration_experience | food_value,福井駅前 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,2,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.9586
cluster_15,落ち着き滞在型家族層,relaxation | exploration_experience | food_value,福井駅前 エリア | かつやま恐竜の森 エリア | 大本山 永平寺 エリア,3,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.902
cluster_16,穏やか探索型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | 大本山 永平寺 エリア | かつやま恐竜の森 エリア,1,teacher_auto_cluster_19,475,relaxation | exploration_experience | food_value,質の高い温泉と景色に癒やされ、美食や動物、歴史スポットを混雑を避けてのんびり満喫する、落ち着いた雰囲気の癒やしの旅。（58文字）,0.9844
cluster_16,穏やか探索型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | 大本山 永平寺 エリア | かつやま恐竜の森 エリア,2,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.9232
cluster_16,穏やか探索型家族層,relaxation | exploration_experience | food_value,あわら湯のまち エリア | 大本山 永平寺 エリア | かつやま恐竜の森 エリア,3,teacher_auto_cluster_18,370,relaxation | exploration_experience | nature,混雑を避け、歴史や自然、児童施設を家族で満喫。期待以上の静けさや宿の質に満足し、ゆったりリラックスして過ごす穴場志向の旅。,0.9046
cluster_17,安心滞在重視型家族層,efficiency_touring | relaxation | food_value,越前そばの里 エリア | 道の駅「南えちぜん山海里」 エリア | かずら橋 エリア,1,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.7644
cluster_17,安心滞在重視型家族層,efficiency_touring | relaxation | food_value,越前そばの里 エリア | 道の駅「南えちぜん山海里」 エリア | かずら橋 エリア,2,teacher_auto_cluster_17,859,relaxation | food_value | exploration_experience,恐竜や自然を満喫し、清潔な施設や無料スポットを賢く活用しながら、家族で地元の食や景観をのんびり楽しむ癒やしの旅。,0.7644
cluster_17,安心滞在重視型家族層,efficiency_touring | relaxation | food_value,越前そばの里 エリア | 道の駅「南えちぜん山海里」 エリア | かずら橋 エリア,3,teacher_auto_cluster_12,507,relaxation | exploration_experience | food_value,温泉と海鮮グルメを軸に、恐竜博物館や買い物、自然体験を家族でゆったり満喫する、清潔感と利便性を重視したリフレッシュ旅。（60文字）,0.6878
cluster_18,自然癒し型家族層,relaxation | nature | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,1,teacher_auto_cluster_7,791,relaxation | nature | planning,清潔な施設や混雑の少なさを重視し、博物館や温泉、自然の景色を楽しみながら、のどかな雰囲気の中でゆったりと過ごす快適な旅。,0.8344
cluster_18,自然癒し型家族層,relaxation | nature | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,2,teacher_auto_cluster_18,370,relaxation | exploration_experience | nature,混雑を避け、歴史や自然、児童施設を家族で満喫。期待以上の静けさや宿の質に満足し、ゆったりリラックスして過ごす穴場志向の旅。,0.8226
cluster_18,自然癒し型家族層,relaxation | nature | efficiency_touring,あわら湯のまち エリア | 越前そばの里 エリア | かつやま恐竜の森 エリア,3,teacher_auto_cluster_14,428,relaxation | food_value | exploration_experience,混雑を避け、静かな環境で地元の美食や歴史・自然を家族や友人と「ゆっくり」楽しみ、日常を忘れて心身を癒やすリラックス旅。,0.8123
cluster_19,老年穏和型家族層,efficiency_touring | food_value | exploration_experience,越前大野城・城下町 エリア | 道の駅「禅の里」 エリア | 福井駅前 エリア,1,teacher_auto_cluster_0,802,exploration_experience | food_value | efficiency_touring,恐竜や歴史、体験を目的とした家族連れやリピーター。新施設や道の駅を巡り、地元の食や人との交流を楽しむアクティブな旅。（59文字）,0.7702
cluster_19,老年穏和型家族層,efficiency_touring | food_value | exploration_experience,越前大野城・城下町 エリア | 道の駅「禅の里」 エリア | 福井駅前 エリア,2,teacher_auto_cluster_15,544,exploration_experience | food_value | efficiency_touring,恐竜や歴史、美食を求め、整備された駅や道の駅を巡る。地元の温かなもてなしや体験を楽しみ、快適さを重視する幅広い世代の旅。,0.7645
cluster_19,老年穏和型家族層,efficiency_touring | food_value | exploration_experience,越前大野城・城下町 エリア | 道の駅「禅の里」 エリア | 福井駅前 エリア,3,teacher_auto_cluster_9,850,planning | exploration_experience | food_value,清潔な街並みや景色を愛で、博物館や駅前での買い物を家族や団体で気軽に楽しむ、利便性と快適さを重視した観光スタイル。（58文字）,0.5761
