id,name,size,top_keywords,cluster_theme_tags,is_complaint_or_improvement_cluster,dominant_text_columns,theme_confidence,purpose_tags,top_areas,top_companions,top_purposes,top_months,avg_nps,summary
auto_need_cluster_01,温泉・宿泊リラックスニーズ層,3970,温泉 / 恐竜 / バス / 自然 / そば / トイレ / 景色 / 駐車場 / 体験 / 交通 / 蕎麦 / 歴史,onsen_lodging_relaxation / dinosaur_museum_family_experience / public_transport_access / nature_scenic_drive,True,満足度(商品・サービス)の理由 / 推奨項目 / 福井県内での交通手段の満足度の理由 / 満足度の理由 / 福井県に求めるもの / 不便さの内容 / 施設に求めるもの / アンケート回答前に訪問した主な場所FA,0.557,ドライブ・ツーリング / 地元の美味しいものを食べる / 自然鑑賞 / 温泉や露天風呂 / 宿でのんびり過ごす / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光,かつやま恐竜の森 エリア / 大本山 永平寺 エリア / 越前そばの里 エリア / あわら湯のまち エリア / 福井駅前 エリア / 越前大野城・城下町 エリア / かずら橋 エリア / 道の駅「恐竜渓谷かつやま」 エリア,夫婦2人 / 自分ひとり / 小学生以下連れの家族 / その他家族 / 中学生以上連れの家族 / 職場の同僚 / 団体旅行 / 学校関係（修学旅行・社会科見学等）,動物園 / 旧跡の観光 / 博物館など） / 都市散策 / テーマパーク（遊園地 / 地元の美味しいものを食べる / 地元の美味しいものを食べる 名所 / その他 / アウトレット / 旧跡の観光 テーマパーク（遊園地,202505 / 202508 / 202511 / 202509 / 202603 / 202507 / 202510 / 202604 / 202506 / 202504 / 202512 / 202602 / 202601,7.847,温泉・宿泊リラックスニーズ層。このクラスタは「温泉・恐竜・バス・自然・そば・トイレ」への関心が目立ち、主にかつやま恐竜の森 エリア・大本山 永平寺 エリア・越前そばの里 エリアエリア、夫婦2人・自分ひとり・小学生以下連れの家族の回答に多く見られます。目的は動物園・旧跡の観光・博物館など）が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは3970件です。
auto_need_cluster_02,恐竜博物館・家族体験ニーズ層,1525,恐竜 / 美味しい / 温泉 / 博物館 / バス / 体験 / 駐車場 / 子供 / 蕎麦 / そば / 自然 / 案内,dinosaur_museum_family_experience / echizen_soba_local_food / onsen_lodging_relaxation / car_parking_touring,True,推奨項目 / 福井県に求めるもの / 満足度(商品・サービス)の理由 / 満足度の理由 / 施設に求めるもの / 福井県内での交通手段の満足度の理由 / 不便さの内容 / アンケート回答前に訪問した主な場所FA,0.924,地元の美味しいものを食べる / ドライブ・ツーリング / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 自然鑑賞 / 温泉や露天風呂 / 宿でのんびり過ごす,かつやま恐竜の森 エリア / 大本山 永平寺 エリア / あわら湯のまち エリア / 福井駅前 エリア / 越前そばの里 エリア / かずら橋 エリア / 越前大野城・城下町 エリア / 道の駅「南えちぜん山海里」 エリア,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / 中学生以上連れの家族 / その他家族 / 職場の同僚 / 団体旅行 / 学校関係（修学旅行・社会科見学等）,動物園 / 博物館など） / 旧跡の観光 / 都市散策 / 地元の美味しいものを食べる 名所 / テーマパーク（遊園地 / 旧跡の観光 テーマパーク（遊園地 / アウトレット / 地元の美味しいものを食べる / 旧跡の観光 まちあるき,202505 / 202508 / 202603 / 202511 / 202504 / 202507 / 202506 / 202604 / 202509 / 202510 / 202512 / 202602 / 202601,8.321,恐竜博物館・家族体験ニーズ層。このクラスタは「恐竜・美味しい・温泉・博物館・バス・体験」への関心が目立ち、主にかつやま恐竜の森 エリア・大本山 永平寺 エリア・あわら湯のまち エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的は動物園・博物館など）・旧跡の観光が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは1525件です。
auto_need_cluster_03,越前そば・地元食ニーズ層,1201,そば / 蕎麦 / 温泉 / バス / 景色 / 美味しい / 海鮮 / 駐車場 / 体験 / 恐竜 / カニ / 案内,echizen_soba_local_food / onsen_lodging_relaxation / car_parking_touring / nature_scenic_drive,True,満足度(商品・サービス)の理由 / 満足度の理由 / 推奨項目 / 福井県内での交通手段の満足度の理由 / 不便さの内容 / 福井県に求めるもの / 施設に求めるもの / アンケート回答前に訪問した主な場所FA,0.882,地元の美味しいものを食べる / ドライブ・ツーリング / 自然鑑賞 / 温泉や露天風呂 / 宿でのんびり過ごす / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光,かつやま恐竜の森 エリア / 大本山 永平寺 エリア / 越前そばの里 エリア / あわら湯のまち エリア / かずら橋 エリア / 道の駅「恐竜渓谷かつやま」 エリア / 道の駅「禅の里」 エリア / 越前大野城・城下町 エリア,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / その他家族 / 中学生以上連れの家族 / 団体旅行 / 職場の同僚 / 福井在住,動物園 / 博物館など） / 旧跡の観光 / テーマパーク（遊園地 / 都市散策 / 地元の美味しいものを食べる / 地元の美味しいものを食べる 名所 / 旧跡の観光 テーマパーク（遊園地 / その他 / アウトレット,202505 / 202508 / 202603 / 202511 / 202604 / 202509 / 202510 / 202506 / 202507 / 202504 / 202602 / 202512 / 202601,7.989,越前そば・地元食ニーズ層。このクラスタは「そば・蕎麦・温泉・バス・景色・美味しい」への関心が目立ち、主にかつやま恐竜の森 エリア・大本山 永平寺 エリア・越前そばの里 エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的は動物園・博物館など）・旧跡の観光が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは1201件です。
auto_need_cluster_04,恐竜博物館・家族体験ニーズ層（満足理由中心）,707,恐竜 / 温泉 / 博物館 / 美味しい / 蕎麦 / 景色 / そば / バス / 子供 / 海鮮 / 案内 / 自然,dinosaur_museum_family_experience / echizen_soba_local_food / onsen_lodging_relaxation / nature_scenic_drive,True,満足度(商品・サービス)の理由 / 推奨項目 / 満足度の理由 / 福井県内での交通手段の満足度の理由 / 福井県に求めるもの / 施設に求めるもの / 不便さの内容 / アンケート回答前に訪問した主な場所FA,0.833,地元の美味しいものを食べる / ドライブ・ツーリング / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 自然鑑賞 / 温泉や露天風呂 / 宿でのんびり過ごす,かつやま恐竜の森 エリア / 大本山 永平寺 エリア / あわら湯のまち エリア / 福井駅前 エリア / かずら橋 エリア / 越前そばの里 エリア / 美浜町レイクセンター エリア / 越前大野城・城下町 エリア,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / その他家族 / 中学生以上連れの家族 / 団体旅行 / 職場の同僚 / 友達夫婦と4人,動物園 / 博物館など） / 旧跡の観光 / 都市散策 / テーマパーク（遊園地 / 地元の美味しいものを食べる 名所 / 地元の美味しいものを食べる / 旧跡の観光 テーマパーク（遊園地 / その他 / 温泉や露天風呂 地元の美味しいものを食べる 名所,202505 / 202511 / 202508 / 202509 / 202504 / 202506 / 202603 / 202604 / 202507 / 202512 / 202510 / 202602 / 202601,8.457,恐竜博物館・家族体験ニーズ層（満足理由中心）。このクラスタは「恐竜・温泉・博物館・美味しい・蕎麦・景色」への関心が目立ち、主にかつやま恐竜の森 エリア・大本山 永平寺 エリア・あわら湯のまち エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的は動物園・博物館など）・旧跡の観光が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは707件です。
auto_need_cluster_05,海鮮・市場グルメニーズ層,649,美味しい / 蕎麦 / そば / 温泉 / 海鮮 / 料理 / 自然 / カニ / 景色 / 体験 / 交通 / 便利,seafood_market_gourmet / echizen_soba_local_food / nature_scenic_drive / onsen_lodging_relaxation,True,推奨項目 / 満足度(商品・サービス)の理由 / 福井県に求めるもの / 満足度の理由 / 施設に求めるもの / 福井県内での交通手段の満足度の理由 / 不便さの内容 / アンケート回答前に訪問した主な場所FA,1.0,地元の美味しいものを食べる / 自然鑑賞 / ドライブ・ツーリング / 温泉や露天風呂 / 宿でのんびり過ごす / 旅行計画・現地情報の分かりやすさ / 各種体験 / テーマパーク（遊園地、動物園、博物館など）,越前そばの里 エリア / あわら湯のまち エリア / 福井駅前 エリア / 大本山 永平寺 エリア / かずら橋 エリア / 道の駅「若狭おばま」 エリア / 日本海さかな街 エリア / 小浜 エリア（宿泊施設）,夫婦2人 / 自分ひとり / その他家族 / 中学生以上連れの家族 / 小学生以下連れの家族 / 団体旅行 / 職場の同僚 / 小中高生連れ家族,地元の美味しいものを食べる / 旧跡の観光 / 動物園 / アウトレット / 都市散策 / 地元の美味しいものを食べる 名所 / 博物館など） / 地元の美味しいものを食べる 買い物 / その他 / 出張など仕事関係,202505 / 202511 / 202512 / 202508 / 202509 / 202510 / 202506 / 202603 / 202507 / 202504 / 202604 / 202601 / 202602,8.431,海鮮・市場グルメニーズ層。このクラスタは「美味しい・蕎麦・そば・温泉・海鮮・料理」への関心が目立ち、主に越前そばの里 エリア・あわら湯のまち エリア・福井駅前 エリアエリア、夫婦2人・自分ひとり・その他家族の回答に多く見られます。目的は地元の美味しいものを食べる・旧跡の観光・動物園が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは649件です。
auto_need_cluster_06,越前そば・地元食ニーズ層（満足理由中心）,619,美味しい / 蕎麦 / 恐竜 / 温泉 / そば / 景色 / 海鮮 / 駐車場 / 博物館 / 体験 / カニ / スタッフ,echizen_soba_local_food / dinosaur_museum_family_experience / car_parking_touring / nature_scenic_drive,True,満足度(商品・サービス)の理由 / 推奨項目 / 満足度の理由 / 福井県に求めるもの / 福井県内での交通手段の満足度の理由 / 施設に求めるもの / 不便さの内容 / アンケート回答前に訪問した主な場所FA,0.882,地元の美味しいものを食べる / ドライブ・ツーリング / 自然鑑賞 / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 温泉や露天風呂 / 宿でのんびり過ごす,あわら湯のまち エリア / かつやま恐竜の森 エリア / 大本山 永平寺 エリア / 越前そばの里 エリア / かずら橋 エリア / 越前大野城・城下町 エリア / 福井駅前 エリア / 道の駅「越前」 エリア,夫婦2人 / 小学生以下連れの家族 / その他家族 / 自分ひとり / 中学生以上連れの家族 / 団体旅行 / 職場の同僚 / 息子と。,動物園 / 博物館など） / 旧跡の観光 / 都市散策 / 地元の美味しいものを食べる / テーマパーク（遊園地 / 地元の美味しいものを食べる 名所 / 旧跡の観光 テーマパーク（遊園地 / その他 / アウトレット,202505 / 202504 / 202511 / 202604 / 202509 / 202603 / 202508 / 202507 / 202510 / 202506 / 202512 / 202601 / 202602,8.548,越前そば・地元食ニーズ層（満足理由中心）。このクラスタは「美味しい・蕎麦・恐竜・温泉・そば・景色」への関心が目立ち、主にあわら湯のまち エリア・かつやま恐竜の森 エリア・大本山 永平寺 エリアエリア、夫婦2人・小学生以下連れの家族・その他家族の回答に多く見られます。目的は動物園・博物館など）・旧跡の観光が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは619件です。
auto_need_cluster_07,恐竜博物館・家族体験ニーズ層（満足理由中心2）,370,恐竜 / 博物館 / バス / 子供 / 駐車場 / 体験 / 美味しい / 移動 / 子ども / アクセス / 便利 / 宿泊,dinosaur_museum_family_experience / public_transport_access / car_parking_touring / echizen_soba_local_food,True,推奨項目 / 満足度(商品・サービス)の理由 / 満足度の理由 / 福井県に求めるもの / 福井県内での交通手段の満足度の理由 / 施設に求めるもの / 不便さの内容 / アンケート回答前に訪問した主な場所FA,1.0,各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / ドライブ・ツーリング / 地元の美味しいものを食べる / 自然鑑賞 / 温泉や露天風呂 / 宿でのんびり過ごす,かつやま恐竜の森 エリア / 福井駅前 エリア / 道の駅「恐竜渓谷かつやま」 エリア / 大本山 永平寺 エリア / あわら湯のまち エリア / 道の駅「禅の里」 エリア / 越前大野城・城下町 エリア / 福井駅前 エリア（宿泊施設）,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / その他家族 / 中学生以上連れの家族 / 団体旅行 / 職場の同僚 / 夫婦と孫,動物園 / 博物館など） / テーマパーク（遊園地 / 旧跡の観光 テーマパーク（遊園地 / 地元の美味しいものを食べる テーマパーク（遊園地 / 旧跡の観光 / 都市散策 / 地元の美味しいものを食べる 名所 / 博物館など） まちあるき / 温泉や露天風呂 地元の美味しいものを食べる 名所,202505 / 202511 / 202508 / 202509 / 202510 / 202504 / 202603 / 202507 / 202604 / 202506 / 202512 / 202601 / 202602,8.627,恐竜博物館・家族体験ニーズ層（満足理由中心2）。このクラスタは「恐竜・博物館・バス・子供・駐車場・体験」への関心が目立ち、主にかつやま恐竜の森 エリア・福井駅前 エリア・道の駅「恐竜渓谷かつやま」 エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的は動物園・博物館など）・テーマパーク（遊園地が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは370件です。
auto_need_cluster_08,地元グルメ・名物食ニーズ層,286,美味しい / 恐竜 / 自然 / 駐車場 / 温泉 / 体験 / 博物館 / そば / 蕎麦 / 便利 / 海鮮 / 景色,dinosaur_museum_family_experience / echizen_soba_local_food / nature_scenic_drive / car_parking_touring,True,満足度(商品・サービス)の理由 / 推奨項目 / 満足度の理由 / 福井県に求めるもの / 施設に求めるもの / 福井県内での交通手段の満足度の理由 / 不便さの内容 / アンケート回答前に訪問した主な場所FA,0.833,地元の美味しいものを食べる / ドライブ・ツーリング / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 自然鑑賞 / 温泉や露天風呂 / 宿でのんびり過ごす,福井駅前 エリア / かつやま恐竜の森 エリア / 大本山 永平寺 エリア / 越前そばの里 エリア / あわら湯のまち エリア / 越前大野城・城下町 エリア / 道の駅「恐竜渓谷かつやま」 エリア / 道の駅「南えちぜん山海里」 エリア,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / その他家族 / 中学生以上連れの家族 / 団体旅行 / 母と妹 / 職場の同僚,動物園 / 博物館など） / 旧跡の観光 / 都市散策 / 地元の美味しいものを食べる 名所 / 旧跡の観光 テーマパーク（遊園地 / テーマパーク（遊園地 / アウトレット / 地元の美味しいものを食べる / 温泉や露天風呂 地元の美味しいものを食べる 名所,202505 / 202511 / 202508 / 202604 / 202512 / 202506 / 202509 / 202603 / 202507 / 202504 / 202510 / 202601 / 202602,8.773,地元グルメ・名物食ニーズ層。このクラスタは「美味しい・恐竜・自然・駐車場・温泉・体験」への関心が目立ち、主に福井駅前 エリア・かつやま恐竜の森 エリア・大本山 永平寺 エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的は動物園・博物館など）・旧跡の観光が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは286件です。
auto_need_cluster_09,公共交通アクセス改善ニーズ層,245,バス / 交通 / トイレ / 美味しい / 恐竜 / 案内 / 移動 / 温泉 / 海鮮 / 博物館 / 駐車場 / 便利,public_transport_access / facility_comfort_safety / dinosaur_museum_family_experience / echizen_soba_local_food,True,不便さの内容 / 福井県内での交通手段の満足度の理由 / 満足度(商品・サービス)の理由 / 満足度の理由 / 推奨項目 / 福井県に求めるもの / 施設に求めるもの / アンケート回答前に訪問した主な場所FA,0.894,ドライブ・ツーリング / 地元の美味しいものを食べる / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 旅行計画・現地情報の分かりやすさ / 自然鑑賞 / 温泉や露天風呂,かつやま恐竜の森 エリア / 大本山 永平寺 エリア / 福井駅前 エリア / あわら湯のまち エリア / 越前大野城・城下町 エリア / JR敦賀駅前 エリア / 金ヶ崎 エリア / JR芦原温泉駅 エリア,自分ひとり / 夫婦2人 / 小学生以下連れの家族 / 中学生以上連れの家族 / その他家族 / 職場の同僚 / 団体旅行,動物園 / 旧跡の観光 / 博物館など） / 都市散策 / 地元の美味しいものを食べる / 地元の美味しいものを食べる 名所 / テーマパーク（遊園地 / 友人・親戚を尋ねる / 出張など仕事関係 / その他,202505 / 202509 / 202603 / 202508 / 202511 / 202510 / 202604 / 202504 / 202512 / 202507 / 202601 / 202602 / 202506,7.049,公共交通アクセス改善ニーズ層。このクラスタは「バス・交通・トイレ・美味しい・恐竜・案内」への関心が目立ち、主にかつやま恐竜の森 エリア・大本山 永平寺 エリア・福井駅前 エリアエリア、自分ひとり・夫婦2人・小学生以下連れの家族の回答に多く見られます。目的は動物園・旧跡の観光・博物館など）が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは245件です。
auto_need_cluster_10,車移動・駐車場利便ニーズ層,237,駐車場 / 案内 / 美味しい / トイレ / 海鮮 / 子供 / 便利 / 清潔 / 景色 / 分かりやすい / 休憩 / そば,car_parking_touring / facility_comfort_safety / echizen_soba_local_food / dinosaur_museum_family_experience,True,不便さの内容 / 福井県内での交通手段の満足度の理由 / 満足度(商品・サービス)の理由 / 満足度の理由 / 推奨項目 / 福井県に求めるもの / 施設に求めるもの / アンケート回答前に訪問した主な場所FA,0.924,ドライブ・ツーリング / 地元の美味しいものを食べる / 旅行計画・現地情報の分かりやすさ / 自然鑑賞 / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 温泉や露天風呂,大本山 永平寺 エリア / かつやま恐竜の森 エリア / 北陸新幹線 越前たけふ駅 エリア / 越前大野城・城下町 エリア / 道の駅「恐竜渓谷かつやま」 エリア / 越前そばの里 エリア / 金ヶ崎 エリア / 丸岡城 エリア,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / 中学生以上連れの家族 / その他家族 / 職場の同僚,動物園 / 博物館など） / 都市散策 / 旧跡の観光 / 地元の美味しいものを食べる / テーマパーク（遊園地 / 地元の美味しいものを食べる 名所 / アウトレット / ドライブ・ツーリング / まちあるき,202505 / 202510 / 202511 / 202508 / 202504 / 202509 / 202602 / 202604 / 202603 / 202507 / 202506 / 202512 / 202601,7.502,車移動・駐車場利便ニーズ層。このクラスタは「駐車場・案内・美味しい・トイレ・海鮮・子供」への関心が目立ち、主に大本山 永平寺 エリア・かつやま恐竜の森 エリア・北陸新幹線 越前たけふ駅 エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的は動物園・博物館など）・都市散策が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは237件です。
auto_need_cluster_11,海鮮・市場グルメニーズ層（改善要望中心）,90,美味しい / 海鮮 / 移動 / トイレ / 宿泊 / そば / 蕎麦 / 自然 / 体験 / 子供 / 周遊 / 駐車場,seafood_market_gourmet / echizen_soba_local_food / public_transport_access / onsen_lodging_relaxation,True,その他 / 満足度(商品・サービス)の理由 / 福井県に求めるもの / 福井県内での交通手段の満足度の理由 / 満足度の理由 / 推奨項目 / 施設に求めるもの / アンケート回答前に訪問した主な場所FA,0.824,ドライブ・ツーリング / 地元の美味しいものを食べる / 自然鑑賞 / 旅行計画・現地情報の分かりやすさ / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 温泉や露天風呂,道の駅「禅の里」 エリア / かつやま恐竜の森 エリア / 道の駅「越前」 エリア / 道の駅「南えちぜん山海里」 エリア / 一乗谷朝倉氏遺跡 エリア / 道の駅「恐竜渓谷かつやま」 エリア / 道の駅「若狭おばま」 エリア / 北潟湖 エリア,夫婦2人 / 小学生以下連れの家族 / 自分ひとり / 中学生以上連れの家族 / 親と叔母,その他 / 都市散策 / まちあるき / ドライブ・ツーリング / アウトレット / 地元の美味しいものを食べる / 地元の美味しいものを食べる 名所 / 出張など仕事関係 / 友人・親戚を尋ねる / 動物園,202509 / 202505 / 202511 / 202510 / 202602 / 202603 / 202506 / 202508 / 202604 / 202504 / 202507 / 202512,7.711,海鮮・市場グルメニーズ層（改善要望中心）。このクラスタは「美味しい・海鮮・移動・トイレ・宿泊・そば」への関心が目立ち、主に道の駅「禅の里」 エリア・かつやま恐竜の森 エリア・道の駅「越前」 エリアエリア、夫婦2人・小学生以下連れの家族・自分ひとりの回答に多く見られます。目的はその他・都市散策・まちあるきが中心で、不便さや改善要望も強く含むクラスタです。該当コメントは90件です。
auto_need_cluster_12,恐竜博物館・家族体験ニーズ層（満足理由中心3）,78,恐竜 / 博物館 / 温泉 / 駐車場 / バス / 蕎麦 / 料理 / ドライブ / 交通 / 風呂 / 美味しい / 歴史,dinosaur_museum_family_experience / car_parking_touring / echizen_soba_local_food / onsen_lodging_relaxation,True,その他 / 満足度(商品・サービス)の理由 / 満足度の理由 / 推奨項目 / 福井県内での交通手段の満足度の理由 / アンケート回答前に訪問した主な場所FA / 福井県に求めるもの / 不便さの内容,0.803,ドライブ・ツーリング / 地元の美味しいものを食べる / 各種体験 / テーマパーク（遊園地、動物園、博物館など） / 名所、旧跡の観光 / 温泉や露天風呂 / 宿でのんびり過ごす / 自然鑑賞,あわら湯のまち エリア / 大本山 永平寺 エリア / かつやま恐竜の森 エリア / 越前大野城・城下町 エリア / 湖上館パムコ（水月湖）エリア / 北潟湖 エリア / かずら橋 エリア / 道の駅「越前おおの荒島の郷」 エリア,夫婦2人 / 小学生以下連れの家族 / その他家族 / 自分ひとり / 中学生以上連れの家族,動物園 / 都市散策 / 博物館など） / 旧跡の観光 / まちあるき / テーマパーク（遊園地 / 地元の美味しいものを食べる 名所 / 旧跡の観光 まちあるき / ドライブ・ツーリング / 地元の美味しいものを食べる,202604 / 202505 / 202601 / 202504 / 202509 / 202603 / 202512 / 202506 / 202510 / 202511 / 202508 / 202507,8.346,恐竜博物館・家族体験ニーズ層（満足理由中心3）。このクラスタは「恐竜・博物館・温泉・駐車場・バス・蕎麦」への関心が目立ち、主にあわら湯のまち エリア・大本山 永平寺 エリア・かつやま恐竜の森 エリアエリア、夫婦2人・小学生以下連れの家族・その他家族の回答に多く見られます。目的は動物園・都市散策・博物館など）が中心で、不便さや改善要望も強く含むクラスタです。該当コメントは78件です。
